DRG Definition,Provider State,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AK,52,38682.65385,9031.423077,7428.615385
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AL,916,30730.66048,5812.516376,4741.055677
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AR,692,26500.52168,6130.83815,4785.299133
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AZ,576,36832.36806,7129.6875,5742.602431
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA,2116,58081.92675,8419.422495,7238.960775
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CO,310,39218.83226,6775.245161,5491.748387
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CT,358,24589.15084,8388.706704,6788.081006
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,DC,49,35066.61224,8837.571429,7052.469388
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,DE,160,23538.9125,7157.525,5951.45625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,FL,2875,42849.24209,6381.577739,4913.258783
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,GA,1046,28617.18356,6657.795411,5197.170172
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,HI,22,27325.77273,9285.909091,8347.727273
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IA,444,22964.24099,6594.986486,5146.972973
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,ID,124,22267.16129,6837.266129,5473.540323
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IL,1327,35436.91258,7713.491334,5580.43783
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IN,1180,28265.89492,6590.655932,5188.575424
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,KS,635,22582.33701,6143.083465,4796.955906
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,KY,756,23082.34392,6421.455026,5155.449735
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,LA,736,31521.94158,6409.044837,4927.713315
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MA,844,24109.00592,9493.971564,7980.971564
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MD,735,10099.71701,9539.410884,8233.653061
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,ME,188,16201.95213,7326.664894,5801.505319
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MI,1334,23181.55322,7129.038231,5970.718141
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MN,441,27753.82766,7535.984127,6037.900227
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MO,1044,26474.73276,6362.747126,5055.030651
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MS,552,26443.83333,6367.539855,4934.722826
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MT,150,19289.94667,7034.386667,5398.646667
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NC,1162,23912.78227,7111.799484,5614.339071
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,ND,202,15871.76733,6659.00495,5524.683168
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NE,274,22271.75182,6854.021898,5246.062044
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NH,223,26226.17489,7262.61435,6068.403587
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NJ,935,38926.29626,7781.40107,6423.380749
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NM,138,33208.16667,6841.673913,5407.036232
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NV,234,46494.05128,7466.858974,5710.358974
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NY,1458,22630.01715,8073.284636,6633.872428
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OH,1410,31496.14113,6661.889362,5355.170213
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OK,516,24474.86628,6249.164729,4955.271318
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OR,359,24969.64345,7616.479109,5955.412256
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,PA,1258,32605.43243,6887.589825,5452.733704
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,RI,78,22386.88462,8127.064103,6418.679487
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,SC,785,35710.37452,6803.942675,5290.135032
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,SD,150,25062.83333,6745.626667,5343.333333
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TN,1062,27717.02637,6736.757062,4874.412429
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX,2852,33964.43408,6729.684783,5327.929874
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,UT,103,22117.52427,7751.776699,4859.058252
